,Tempo,T0,T1,T2,T3,T4
0,953,24.11,23.84,23.73,24.2,23.99
1,2009,24.14,23.85,23.73,24.22,23.99
2,3064,24.14,23.85,23.73,24.21,24.01
3,4120,24.15,23.84,23.73,24.21,23.97
4,5176,24.13,23.84,23.73,24.21,23.99
5,6232,24.13,23.85,23.73,24.21,24.0
6,7287,24.14,23.84,23.73,24.21,23.98
7,8343,24.14,23.82,23.73,24.2,23.99
8,9399,24.14,23.84,23.73,24.2,24.01
9,10456,24.14,23.85,23.73,24.19,24.01
10,11511,24.14,23.84,23.73,24.2,24.03
11,12568,24.14,23.84,23.73,24.18,24.06
12,13624,24.16,23.85,23.73,24.19,24.09
13,14681,24.13,23.85,23.73,24.22,24.14
14,15736,24.14,23.85,23.72,24.2,24.17
15,16793,24.14,23.85,23.73,24.21,24.22
16,17849,24.14,23.84,23.72,24.21,24.79
17,18906,24.14,23.85,23.73,24.21,24.82
18,19961,24.13,23.85,23.73,24.23,24.48
19,21018,24.14,23.85,23.73,24.25,24.41
20,22075,24.15,23.84,23.73,24.23,24.46
21,23131,24.12,23.86,23.73,24.26,24.56
22,24187,24.13,23.86,23.73,24.27,24.6
23,25243,24.14,23.84,23.73,24.29,24.68
24,26300,24.15,23.85,23.73,24.29,24.77
25,27356,24.13,23.85,23.73,24.31,24.82
26,28412,24.14,23.85,23.73,24.34,24.91
27,29468,24.15,23.85,23.73,24.35,24.99
28,30525,24.14,23.85,23.73,24.36,25.05
29,31582,24.13,23.85,23.73,24.4,25.15
30,32637,24.14,23.85,23.73,24.41,25.22
31,33694,24.12,23.85,23.73,24.43,25.31
32,34750,23.4,23.1,23.01,23.71,24.33
33,35807,23.04,22.71,22.65,23.33,24.06
34,36862,23.03,22.71,22.65,23.36,24.26
35,37918,23.04,22.72,22.65,23.41,24.44
36,38975,23.03,22.73,22.65,23.43,24.5
37,40031,23.03,22.72,22.65,23.45,24.6
38,41088,23.03,22.72,22.66,23.47,24.66
39,42143,23.05,22.71,22.66,23.51,24.76
40,43199,23.04,22.71,22.66,23.54,24.85
41,44256,23.04,22.72,22.67,23.57,24.91
42,45312,23.04,22.73,22.69,23.59,25.0
43,46367,23.05,22.72,22.69,23.6,25.11
44,47424,23.03,22.73,22.7,23.66,25.2
45,48480,23.05,22.72,22.7,23.67,25.26
46,49537,23.03,22.72,22.7,23.72,25.35
47,50592,23.06,22.74,22.7,23.74,25.43
48,51648,23.04,22.72,22.72,23.78,25.5
49,52705,23.04,22.72,22.71,23.82,25.58
50,53761,23.04,22.75,22.71,23.85,25.63
51,54817,23.06,22.75,22.72,23.87,25.73
52,55873,23.03,22.76,22.77,23.92,25.81
53,56930,23.06,22.77,22.77,23.94,25.86
54,57986,23.04,22.77,22.77,24.0,25.94
55,59041,23.04,22.78,22.78,24.01,26.01
56,60098,23.04,22.77,22.78,24.05,26.08
57,61154,23.04,22.78,22.79,24.07,26.16
58,62211,23.04,22.78,22.79,24.12,26.2
59,63266,23.04,22.78,22.84,24.15,26.28
60,64323,23.04,22.78,22.85,24.19,26.34
61,65379,23.05,22.77,22.84,24.22,26.41
62,66436,23.06,22.78,22.85,24.26,26.48
63,67491,23.04,22.78,22.86,24.28,26.57
64,68548,23.05,22.79,22.9,24.33,26.65
65,69604,23.04,22.79,22.92,24.37,26.74
66,70661,23.04,22.79,22.92,24.4,26.82
67,71716,23.04,22.79,22.92,24.43,26.9
68,72773,23.05,22.79,22.92,24.48,26.97
69,73829,23.05,22.8,22.93,24.52,27.04
70,74886,23.04,22.81,22.96,24.56,27.09
71,75941,23.05,22.84,22.99,24.59,27.17
72,76998,23.05,22.85,22.99,24.62,27.21
73,78054,23.05,22.85,22.99,24.67,27.27
74,79111,23.04,22.85,23.02,24.68,27.34
75,80166,23.05,22.85,23.04,24.75,27.39
76,81223,23.05,22.85,23.04,24.79,27.47
77,82279,23.05,22.85,23.05,24.83,27.54
78,83336,23.07,22.85,23.06,24.86,27.59
79,84391,23.08,22.87,23.11,24.87,27.65
80,85448,23.08,22.88,23.12,24.94,27.7
81,86504,23.06,22.89,23.12,24.97,27.76
82,87561,23.09,22.91,23.13,25.01,27.81
83,88616,23.09,22.92,23.17,25.05,27.86
84,89673,23.1,22.91,23.19,25.08,27.93
85,90729,23.08,22.92,23.19,25.12,27.96
86,91786,23.1,22.93,23.2,25.16,28.01
87,92843,23.11,22.92,23.23,25.18,28.04
88,93898,23.12,22.93,23.26,25.22,28.1
89,94955,23.13,22.98,23.27,25.26,28.14
90,96012,23.12,22.98,23.28,25.28,28.21
91,97068,23.11,22.98,23.31,25.35,28.25
92,98124,23.1,22.99,23.32,25.36,28.27
93,99180,23.11,22.99,23.32,25.41,28.35
94,100237,23.12,23.0,23.36,25.45,28.41
95,101294,23.11,23.0,23.37,25.47,28.46
96,102350,23.13,23.02,23.38,25.5,28.53
97,103407,23.13,23.04,23.41,25.54,28.57
98,104464,23.15,23.04,23.42,25.59,28.59
99,105521,23.16,23.05,23.45,25.62,28.67
100,106578,23.19,23.06,23.46,25.65,28.71
101,107635,23.18,23.06,23.47,25.69,28.75
102,108692,23.16,23.07,23.51,25.73,28.8
103,109749,23.19,23.11,23.52,25.76,28.84
104,110806,23.18,23.12,23.53,25.79,28.89
105,111862,23.18,23.12,23.57,25.83,28.93
106,112919,23.2,23.12,23.58,25.87,28.99
107,113976,23.2,23.12,23.59,25.88,29.05
108,115033,23.25,23.15,23.6,25.94,29.07
109,116089,23.24,23.18,23.64,25.96,29.12
110,117146,23.25,23.18,23.66,26.01,29.16
111,118203,23.24,23.18,23.66,26.03,29.22
112,119260,23.27,23.19,23.71,26.08,29.27
113,120316,23.28,23.2,23.72,26.11,29.32
114,121373,23.28,23.23,23.73,26.13,29.35
115,122430,23.28,23.25,23.73,26.18,29.41
116,123487,23.3,23.26,23.79,26.21,29.48
117,124544,23.32,23.26,23.8,26.24,29.51
118,125600,23.33,23.27,23.81,26.28,29.57
119,126657,23.34,23.3,23.86,26.32,29.6
120,127714,23.33,23.3,23.86,26.35,29.65
121,128771,23.33,23.33,23.86,26.39,29.69
122,129828,23.34,23.32,23.89,26.41,29.72
123,130885,23.35,23.33,23.92,26.46,29.77
124,131942,23.37,23.35,23.93,26.48,29.81
125,132999,23.38,23.39,23.94,26.51,29.87
126,134055,23.41,23.39,23.99,26.54,29.88
127,135112,23.4,23.4,24.0,26.59,29.95
128,136169,23.4,23.4,24.01,26.6,29.98
129,137226,23.43,23.43,24.03,26.65,30.04
130,138283,23.43,23.47,24.06,26.68,30.09
131,139339,23.45,23.46,24.07,26.71,30.13
132,140396,23.46,23.46,24.09,26.73,30.17
133,141453,23.46,23.47,24.13,26.77,30.23
134,142510,23.49,23.53,24.13,26.81,30.27
135,143566,23.47,23.52,24.14,26.83,30.31
136,144623,23.5,23.53,24.2,26.88,30.37
137,145680,23.52,23.53,24.2,26.91,30.39
138,146737,23.54,23.58,24.2,26.93,30.43
139,147793,23.54,23.58,24.26,26.99,30.47
140,148850,23.55,23.59,24.27,27.01,30.51
141,149907,23.56,23.6,24.27,27.06,30.54
142,150964,23.59,23.64,24.3,27.06,30.58
143,152020,23.58,23.65,24.34,27.09,30.6
144,153077,23.6,23.66,24.35,27.14,30.65
145,154134,23.61,23.66,24.37,27.15,30.71
146,155191,23.63,23.68,24.39,27.2,30.73
147,156248,23.64,23.72,24.4,27.22,30.79
148,157304,23.65,23.73,24.43,27.26,30.81
149,158361,23.67,23.73,24.47,27.28,30.87
150,159418,23.7,23.75,24.47,27.32,30.92
151,160475,23.69,23.79,24.5,27.35,30.96
152,161531,23.7,23.8,24.53,27.37,30.99
153,162588,23.71,23.8,24.54,27.41,31.01
154,163645,23.74,23.81,24.56,27.45,31.09
155,164702,23.75,23.85,24.6,27.47,31.13
156,165758,23.76,23.86,24.6,27.49,31.17
157,166815,23.79,23.86,24.6,27.54,31.19
158,167872,23.79,23.87,24.64,27.56,31.24
159,168929,23.8,23.92,24.67,27.58,31.28
160,169986,23.8,23.92,24.67,27.63,31.32
161,171042,23.81,23.93,24.71,27.67,31.35
162,172099,23.84,23.93,24.74,27.68,31.39
163,173156,23.86,23.97,24.75,27.72,31.43
164,174213,23.87,23.99,24.76,27.74,31.44
165,175269,23.88,24.0,24.81,27.79,31.49
166,176326,23.92,24.01,24.82,27.81,31.52
167,177383,23.92,24.04,24.82,27.82,31.54
