,Tempo,T0,T1,T2,T3,T4
0,953,24.35,24.08,23.93,24.3,25.88
1,2009,24.35,24.08,23.93,24.3,25.03
2,3064,24.34,24.08,23.93,24.3,25.16
3,4120,24.33,24.07,23.93,24.3,25.02
4,5176,24.36,24.08,23.93,24.3,25.09
5,6232,24.36,24.08,23.93,24.3,25.14
6,7287,24.35,24.08,23.93,24.32,24.99
7,8344,24.36,24.08,23.93,24.32,25.16
8,9400,24.35,24.09,23.93,24.31,25.07
9,10456,24.38,24.07,23.93,24.33,25.04
10,11511,24.37,24.08,23.93,24.31,25.17
11,12568,24.38,24.08,23.93,24.28,25.01
12,13625,24.38,24.09,23.93,24.3,25.15
13,14681,24.36,24.08,23.93,24.28,25.09
14,15737,24.36,24.08,23.93,24.32,25.06
15,16793,24.38,24.08,23.93,24.31,25.15
16,17850,24.39,24.1,23.93,24.3,25.01
17,18906,24.39,24.08,23.93,24.33,25.18
18,19962,24.37,24.08,23.93,24.33,25.04
19,21018,24.39,24.08,23.93,24.34,25.14
20,22075,24.38,24.11,23.93,24.31,25.07
21,23132,24.38,24.09,23.94,24.32,25.07
22,24187,24.38,24.08,23.93,24.34,25.17
23,25244,24.38,24.09,23.93,24.35,25.01
24,26300,24.37,24.08,23.93,24.32,25.18
25,27357,24.38,24.09,23.93,24.33,25.27
26,28412,24.38,24.08,23.93,24.35,25.16
27,29469,24.38,24.08,23.93,24.36,24.97
28,30525,24.37,24.07,23.93,24.35,25.19
29,31582,24.37,24.09,23.93,24.37,25.19
30,32638,24.4,24.08,23.93,24.36,24.94
31,33694,24.38,24.08,23.93,24.38,25.23
32,34751,24.36,24.08,23.93,24.39,25.05
33,35807,24.37,24.09,23.94,24.39,25.16
34,36864,24.37,24.08,23.93,24.4,25.22
35,37919,24.36,24.08,23.93,24.41,25.14
36,38976,24.37,24.08,23.93,24.44,25.33
37,40032,24.36,24.08,23.93,24.45,25.17
38,41089,24.36,24.08,23.94,24.45,25.24
39,42144,24.38,24.09,23.94,24.47,25.34
40,43201,24.36,24.09,23.95,24.47,25.16
41,44257,24.37,24.08,23.95,24.49,25.31
42,45314,24.38,24.09,23.98,24.49,25.29
43,46369,24.38,24.09,23.96,24.53,25.23
44,47426,24.36,24.09,23.99,24.54,25.41
45,48482,24.38,24.09,24.0,24.54,25.27
46,49539,24.4,24.11,24.0,24.56,25.33
47,50595,24.38,24.09,24.0,24.58,25.4
48,51651,24.39,24.13,24.0,24.59,25.28
49,52708,24.39,24.12,24.0,24.61,25.47
50,53764,24.39,24.12,24.0,24.6,25.34
51,54820,24.38,24.11,24.0,24.63,25.38
52,55876,24.38,24.1,24.01,24.65,25.47
53,56933,24.37,24.13,24.01,24.67,25.35
54,57989,24.39,24.12,24.03,24.68,25.54
55,59045,24.38,24.13,24.04,24.68,25.41
56,60102,24.38,24.13,24.06,24.73,25.46
57,61158,24.38,24.12,24.07,24.71,25.54
58,62215,24.37,24.12,24.06,24.75,25.43
59,63270,24.39,24.13,24.06,24.75,25.6
60,64327,24.39,24.13,24.08,24.76,25.46
61,65383,24.39,24.12,24.07,24.78,25.66
62,66440,24.4,24.12,24.08,24.79,25.52
63,67495,24.39,24.13,24.08,24.8,25.55
64,68552,24.41,24.13,24.11,24.82,25.58
65,69608,24.41,24.13,24.11,24.82,25.56
66,70665,24.37,24.13,24.12,24.84,25.69
67,71721,24.39,24.13,24.12,24.85,25.81
68,72777,24.36,24.14,24.13,24.9,25.68
69,73834,24.38,24.15,24.13,24.9,25.5
70,74891,24.38,24.16,24.14,24.92,25.61
71,75947,24.4,24.19,24.14,24.94,25.74
72,77003,24.38,24.19,24.16,24.97,25.65
73,78059,24.39,24.19,24.19,25.0,25.86
74,79116,24.39,24.19,24.19,24.99,25.65
75,80173,24.4,24.2,24.2,25.03,25.8
76,81228,24.39,24.2,24.21,25.05,25.8
77,82285,24.4,24.2,24.21,25.06,25.74
78,83341,24.4,24.2,24.23,25.06,25.9
79,84398,23.18,22.97,23.01,23.86,24.8
80,85453,21.54,21.38,21.4,22.21,23.13
81,86509,21.81,21.64,21.67,22.48,22.96
82,87566,22.32,22.17,22.2,23.04,23.92
83,88622,22.57,22.4,22.44,23.29,24.27
84,89677,22.57,22.41,22.45,23.3,24.09
85,90734,22.53,22.39,22.45,23.31,24.13
86,91790,22.53,22.38,22.46,23.32,24.19
87,92847,22.51,22.36,22.44,23.32,24.05
88,93902,22.49,22.36,22.43,23.32,24.23
89,94958,22.49,22.37,22.43,23.31,24.09
90,96015,22.44,22.31,22.41,23.3,24.08
91,97071,22.37,22.28,22.36,23.27,24.13
92,98127,22.37,22.26,22.36,23.27,23.97
93,99183,22.33,22.24,22.34,23.26,24.13
94,100240,22.27,22.2,22.28,23.2,24.0
95,101296,22.1,22.0,22.12,23.05,23.87
96,102352,22.12,22.04,22.15,23.11,23.95
97,103409,22.16,22.07,22.19,23.13,23.84
98,104466,22.1,22.04,22.16,23.09,23.98
99,105523,22.11,22.04,22.16,23.13,23.85
100,106579,22.11,22.06,22.17,23.15,24.05
101,107635,22.11,22.07,22.2,23.17,23.88
102,108692,22.14,22.08,22.22,23.2,24.07
103,109749,22.13,22.11,22.23,23.21,24.01
104,110806,22.55,22.5,22.64,23.67,24.31
105,111862,23.6,23.57,23.72,24.76,25.59
106,112919,22.39,22.3,22.48,23.51,24.37
107,113976,23.2,23.2,23.33,24.37,25.11
108,115033,23.81,23.77,23.93,25.02,25.69
109,116088,22.91,22.92,23.1,24.13,25.1
110,117145,22.43,22.43,22.58,23.62,24.5
111,118202,22.51,22.48,22.64,23.68,24.33
112,119259,22.89,22.89,23.05,24.11,24.92
113,120315,22.79,22.8,22.98,24.04,24.77
114,121372,22.72,22.74,22.91,23.97,24.84
