,Tempo,T0,T1,T2,T3,T4
0,75935,22.28,22.06,22.11,22.93,27.43
1,76992,22.24,22.03,22.13,22.96,27.52
2,78048,22.22,22.07,22.14,22.95,27.66
3,79105,22.24,22.09,22.11,22.93,27.74
4,80160,22.26,22.07,22.14,22.96,27.86
5,81217,22.2,22.09,22.11,22.96,27.97
6,82273,22.21,22.07,22.13,22.96,28.04
7,83330,22.23,22.07,22.11,22.97,28.13
8,84386,22.24,22.04,22.1,22.96,28.21
9,85442,22.24,22.04,22.1,22.96,28.29
10,86499,22.21,22.06,22.13,22.96,28.43
11,87555,22.25,22.07,22.12,22.94,28.52
12,88611,22.2,22.07,22.11,22.97,28.63
13,89667,22.23,22.07,22.13,22.98,28.7
14,90724,22.25,22.07,22.11,23.0,28.79
15,91780,22.25,22.05,22.13,22.99,28.89
16,92836,22.24,22.06,22.12,22.99,29.01
17,93892,22.22,22.07,22.11,23.01,29.1
18,94949,22.21,22.05,22.11,23.0,29.19
19,96005,22.23,22.07,22.11,23.02,29.29
20,97061,22.24,22.04,22.13,23.01,29.36
21,98117,22.23,22.07,22.11,23.01,29.46
22,99174,22.26,22.07,22.14,23.0,29.56
23,100230,22.22,22.05,22.1,23.02,29.65
24,101286,22.24,22.05,22.11,23.02,29.74
25,102343,22.2,22.05,22.14,23.03,29.85
26,103400,22.21,22.08,22.12,23.03,29.93
27,104457,22.23,22.06,22.11,23.04,29.99
28,105512,22.2,22.07,22.11,23.06,30.08
29,106569,22.26,22.11,22.11,23.03,30.17
30,107626,22.2,22.07,22.11,23.05,30.27
31,108683,22.23,22.04,22.11,23.06,30.31
32,109740,22.2,22.04,22.1,23.07,30.41
33,110796,22.23,22.07,22.11,23.09,30.49
34,111853,22.27,22.07,22.11,23.09,30.57
35,112909,22.24,22.05,22.11,23.08,30.64
36,113966,22.24,22.1,22.11,23.09,30.74
37,115022,22.26,22.05,22.11,23.12,30.8
38,116079,22.26,22.07,22.13,23.11,30.89
39,117135,22.24,22.06,22.12,23.13,30.96
40,118192,22.19,22.04,22.11,23.13,31.07
41,119248,22.24,22.07,22.11,23.15,31.17
